State,2015 Unemployment Rate,Rank
Alabama,6.1,42
Alaska,6.5,47
Arizona,6.1,42
Arkansas,5.0,24
California,6.2,44
Colorado,3.9,10
Connecticut,5.7,34
Delaware,4.9,22
District of Columbia,6.9,51
Florida,5.5,31
Georgia,6.0,38
Hawaii,3.6,5
Idaho,4.2,11
Illinois,6.0,38
Indiana,4.8,20
Iowa,3.8,9
Kansas,4.2,11
Kentucky,5.3,27
Louisiana,6.3,45
Maine,4.4,15
Maryland,5.1,26
Massachusetts,4.8,20
Michigan,5.4,30
Minnesota,3.7,8
Mississippi,6.4,46
Missouri,5.0,24
Montana,4.2,11
Nebraska,3.0,2
Nevada,6.8,50
New Hampshire,3.4,4
New Jersey,5.8,37
New Mexico,6.5,47
New York,5.3,27
North Carolina,5.7,34
North Dakota,2.8,1
Ohio,4.9,22
Oklahoma,4.4,15
Oregon,5.6,32
Pennsylvania,5.3,27
Rhode Island,6.0,38
South Carolina,6.0,38
South Dakota,3.1,3
Tennessee,5.6,32
Texas,4.4,15
Utah,3.6,5
Vermont,3.6,5
Virginia,4.5,18
Washington,5.7,34
West Virginia,6.7,49
Wisconsin,4.5,18
Wyoming,4.3,14
